variable  n_obs    mean      std        min      p01      p05    p25    p50    p75     p95     p99    max
      AT  36709 17.7201  7.44395    -6.2348  2.71748    5.766 11.792  17.81 23.668  29.486 32.1979 37.103
      AP  36709 1013.07  6.46463     985.85  998.022   1003.3 1008.8 1012.6   1017  1024.3  1029.4 1036.6
      AH  36709 77.8628  14.4649     24.085  40.7085   50.773 68.177 80.463 89.381 97.3946 100.079  100.2
    AFDP  36709 3.92552 0.774072     2.0874  2.46182  2.66636 3.3554 3.9379 4.3768  5.3116  6.0099 7.6106
    GTEP  36709 25.5632  4.19596     17.698   18.525   19.251 23.126 25.105 29.059 32.9006 34.3649 40.716
     TIT  36709 1081.42  17.5398     1000.8  1035.01   1047.8 1071.8 1085.9   1097  1100.1  1100.2 1100.9
     TAT  36709  546.16  6.84024     511.04   525.18   529.97 544.73 549.88 550.04   550.3  550.42 550.61
     TEY  36709 133.501  15.6188     100.02   104.02   109.03 124.44 133.73 144.08  161.33  166.47  179.5
     CDP  36709 12.0602  1.08879     9.8518   10.183   10.385 11.434 11.965 12.853  13.989 14.2909 15.159
      CO  36709  2.3736  2.26296 0.00038751 0.197285 0.469536  1.183 1.7142 2.8448 6.14194 11.0128 44.103
     NOX  36709 65.2845  11.6761     25.905  45.1913  49.2878 57.157 63.841 71.536 85.1902 105.178 119.91
