         model_component                parameter                    value
         point_regressor         bagging_fraction                      0.9
         point_regressor             bagging_freq                        1
         point_regressor         feature_fraction                      0.9
         point_regressor                lambda_l1                        0
         point_regressor                lambda_l2                        0
         point_regressor            learning_rate                     0.03
         point_regressor                  max_bin                      255
         point_regressor                max_depth                       -1
         point_regressor         min_data_in_leaf                      120
         point_regressor           min_split_gain                    0.001
         point_regressor             n_estimators                     5000
         point_regressor                   n_jobs                       -1
         point_regressor               num_leaves                       96
         point_regressor             random_state                       42
         point_regressor                  verbose                       -1
upper_quantile_regressor         bagging_fraction                      0.9
upper_quantile_regressor             bagging_freq                        1
upper_quantile_regressor         feature_fraction                      0.9
upper_quantile_regressor                lambda_l1                        0
upper_quantile_regressor                lambda_l2                        0
upper_quantile_regressor            learning_rate                     0.03
upper_quantile_regressor                  max_bin                      255
upper_quantile_regressor                max_depth                       -1
upper_quantile_regressor         min_data_in_leaf                      120
upper_quantile_regressor           min_split_gain                    0.001
upper_quantile_regressor             n_estimators                     5000
upper_quantile_regressor                   n_jobs                       -1
upper_quantile_regressor               num_leaves                       96
upper_quantile_regressor             random_state                       42
upper_quantile_regressor                  verbose                       -1
   crc_breach_classifier         bagging_fraction                      0.8
   crc_breach_classifier             bagging_freq                        1
   crc_breach_classifier         feature_fraction                      0.8
   crc_breach_classifier                lambda_l1                        0
   crc_breach_classifier                lambda_l2                        0
   crc_breach_classifier            learning_rate                     0.05
   crc_breach_classifier                  max_bin                      255
   crc_breach_classifier                max_depth                       -1
   crc_breach_classifier         min_data_in_leaf                       60
   crc_breach_classifier           min_split_gain                        0
   crc_breach_classifier             n_estimators                      200
   crc_breach_classifier                   n_jobs                       -1
   crc_breach_classifier               num_leaves                       63
   crc_breach_classifier             random_state                       42
   crc_breach_classifier                  verbose                       -1
        training_control                upper_tau                     0.95
        training_control               alpha_grid   0.05,0.07,0.1,0.15,0.2
        training_control                     seed                       42
        training_control                 val_frac                      0.1
        training_control             val_min_rows                      200
        training_control    early_stopping_rounds                      100
        training_control          log_eval_period                       50
        training_control       state_history_cols TEY,TIT,GTEP,TAT,CDP,NOX
        training_control       state_history_lags                    1,2,3
        training_control     co_extra_target_lags                  6,12,24
        training_control n_total_features_unioned                       32
