target,model_kind,rank,feature,importance,importance_share_pct
TIT,point,1,TEY,40975.0,17.06154230512991
TIT,point,2,AT,29932.0,12.463357761492338
TIT,point,3,AFDP,25348.0,10.554630246502331
TIT,point,4,AP,24563.0,10.227764823451032
TIT,point,5,TIT_lag1,20385.0,8.48809127248501
TIT,point,6,TAT_lag1,17978.0,7.485842771485676
TIT,point,7,TEY_lag1,17417.0,7.252248500999333
TIT,point,8,AH,16991.0,7.074866755496336
TIT,point,9,GTEP_lag1,15872.0,6.608927381745503
TIT,point,10,CDP_lag1,12894.0,5.36892071952032
TIT,point,11,hod_cos,6552.0,2.728181212524983
TIT,point,12,hour_of_day,6242.0,2.5991005996002663
TIT,point,13,hod_sin,5011.0,2.0865256495669553
TIT,quantile,1,AFDP,13892.0,12.114764105694602
TIT,quantile,2,TEY,13554.0,11.820005232406034
TIT,quantile,3,AP,12565.0,10.957530304351618
TIT,quantile,4,AH,11618.0,10.131682218540158
TIT,quantile,5,AT,11484.0,10.014825150431674
TIT,quantile,6,TEY_lag1,8549.0,7.455306531786866
TIT,quantile,7,TAT_lag1,8375.0,7.303566756780326
TIT,quantile,8,TIT_lag1,8127.0,7.0872939740123835
TIT,quantile,9,GTEP_lag1,7377.0,6.433243219673846
TIT,quantile,10,CDP_lag1,6663.0,5.81058690154356
TIT,quantile,11,hod_cos,4478.0,3.9051190372372897
TIT,quantile,12,hour_of_day,4274.0,3.7272172320572077
TIT,quantile,13,hod_sin,3714.0,3.2388593354844337
NOX,point,1,TEY,6003.0,16.1609907120743
NOX,point,2,NOX_lag1,3468.0,9.336384439359268
NOX,point,3,AFDP,2721.0,7.325346614618387
NOX,point,4,AT,2334.0,6.283483645174317
NOX,point,5,AH,2111.0,5.683133665365459
NOX,point,6,TEY_lag1,1757.0,4.730111724323597
NOX,point,7,TIT_lag1,1593.0,4.288598734688383
NOX,point,8,AP,1591.0,4.283214429936734
NOX,point,9,NOX_lag2,1548.0,4.167451877776283
NOX,point,10,TAT_lag1,1532.0,4.124377439763091
NOX,point,11,GTEP_lag1,1473.0,3.965540449589447
NOX,point,12,NOX_lag3,1259.0,3.3894198411630097
NOX,point,13,CDP_lag1,1022.0,2.75137972809261
NOX,point,14,GTEP_lag2,948.0,2.552160452281599
NOX,point,15,TIT_lag2,803.0,2.1617983577870508
NOX,point,16,TAT_lag2,800.0,2.153721900659577
NOX,point,17,TEY_lag2,771.0,2.0756494817606677
NOX,point,18,GTEP_lag3,764.0,2.0568044151298963
NOX,point,19,TAT_lag3,723.0,1.946426167721093
NOX,point,20,TEY_lag3,686.0,1.8468165298155876
NOX,quantile,1,TEY,11304.0,6.561754445031375
NOX,quantile,2,AFDP,10558.0,6.12871580242757
NOX,quantile,3,AH,10466.0,6.075311573044796
NOX,quantile,4,AP,10281.0,5.9679226335250855
NOX,quantile,5,NOX_lag1,9148.0,5.31023793906113
NOX,quantile,6,AT,8591.0,4.986910158993679
NOX,quantile,7,NOX_lag3,8245.0,4.786063818054113
NOX,quantile,8,NOX_lag2,7427.0,4.311230561150745
NOX,quantile,9,TAT_lag2,7253.0,4.210226909926801
NOX,quantile,10,TAT_lag3,7219.0,4.190490564285341
NOX,quantile,11,TAT_lag1,7200.0,4.17946142995629
NOX,quantile,12,TEY_lag1,6372.0,3.6988233655113163
NOX,quantile,13,TEY_lag3,6015.0,3.491591736275984
NOX,quantile,14,TEY_lag2,5455.0,3.16652251394605
NOX,quantile,15,CDP_lag1,5411.0,3.140981360762984
NOX,quantile,16,TIT_lag1,5257.0,3.0515873246222522
NOX,quantile,17,GTEP_lag3,5148.0,2.988314922418747
NOX,quantile,18,GTEP_lag1,5054.0,2.933749731527651
NOX,quantile,19,GTEP_lag2,4987.0,2.894857520998891
NOX,quantile,20,CDP_lag3,4869.0,2.8263607920079408
CO,point,1,CO_lag1,1718.0,17.388663967611336
CO,point,2,TEY,1347.0,13.633603238866396
CO,point,3,AT,560.0,5.668016194331984
CO,point,4,CO_lag2,550.0,5.566801619433198
CO,point,5,TEY_lag1,479.0,4.848178137651822
CO,point,6,CO_lag24,449.0,4.544534412955466
CO,point,7,AFDP,423.0,4.281376518218623
CO,point,8,TIT_lag1,395.0,3.9979757085020244
CO,point,9,CO_lag6,358.0,3.623481781376518
CO,point,10,NOX_lag2,291.0,2.945344129554656
CO,point,11,CO_lag12,285.0,2.8846153846153846
CO,point,12,AH,278.0,2.8137651821862346
CO,point,13,CO_lag3,250.0,2.5303643724696356
CO,point,14,AP,237.0,2.3987854251012144
CO,point,15,TAT_lag1,225.0,2.277327935222672
CO,point,16,NOX_lag3,211.0,2.1356275303643724
CO,point,17,TEY_lag2,211.0,2.1356275303643724
CO,point,18,CDP_lag1,181.0,1.8319838056680162
CO,point,19,TIT_lag2,179.0,1.811740890688259
CO,point,20,TAT_lag2,148.0,1.4979757085020242
CO,quantile,1,TEY,1298.0,7.70326409495549
CO,quantile,2,CO_lag1,1256.0,7.454005934718101
CO,quantile,3,AFDP,934.0,5.543026706231454
CO,quantile,4,AT,877.0,5.204747774480712
CO,quantile,5,AP,757.0,4.492581602373887
CO,quantile,6,CO_lag2,754.0,4.474777448071217
CO,quantile,7,AH,740.0,4.3916913946587535
CO,quantile,8,CO_lag6,738.0,4.379821958456973
CO,quantile,9,CO_lag12,722.0,4.28486646884273
CO,quantile,10,CO_lag24,690.0,4.094955489614243
